n,p,n_steps,time,bottom_reached,n_threads
56,0.2,5,0.0280001,0,1
56,0.3,7,0.04,0,1
56,0.4,13,0.0709999,0,1
56,0.5,16,0.086,0,1
56,0.6,112,0.615,1,1
56,0.7,89,0.496,1,1
56,0.8,72,0.388,1,1
56,0.9,63,0.353,1,1
56,1,57,0.306,1,1
57,0.1,2,0.0110002,0,1
57,0.2,7,0.0369999,0,1
57,0.3,6,0.033,0,1
57,0.4,16,0.0870001,0,1
57,0.5,35,0.19,0,1
57,0.6,70,0.385,0,1
57,0.7,82,0.444,1,1
57,0.8,70,0.389,1,1
57,0.9,66,0.391,1,1
57,1,58,0.326,1,1
58,0.1,3,0.0159998,0,1
58,0.2,6,0.0340002,0,1
58,0.3,11,0.0609999,0,1
58,0.4,15,0.0900002,0,1
58,0.5,20,0.123,0,1
58,0.6,153,0.874,1,1
58,0.7,79,0.473,1,1
58,0.8,72,0.546,1,1
58,0.9,66,0.404,1,1
58,1,59,0.383,1,1
59,0.1,7,0.043,0,1
59,0.2,4,0.0709999,0,1
59,0.3,5,0.0370002,0,1
59,0.4,6,0.036,0,1
59,0.5,13,0.0869999,0,1
59,0.6,105,0.712,1,1
59,0.7,103,0.617,1,1
59,0.8,73,0.441,1,1
59,0.9,67,0.394,1,1
59,1,60,0.346,1,1
60,0.1,2,0.0110002,0,1
60,0.2,4,0.023,0,1
60,0.3,10,0.0639999,0,1
60,0.4,15,0.0910001,0,1
60,0.5,27,0.153,0,1
60,0.6,121,0.719,1,1
60,0.7,89,0.528,1,1
60,0.8,76,0.451,1,1
60,0.9,69,0.395,1,1
60,1,62,0.365,1,1
61,0.1,4,0.023,0,1
61,0.2,5,0.0809999,0,1
61,0.3,4,0.023,0,1
61,0.4,10,0.0740001,0,1
61,0.5,17,0.118,0,1
61,0.6,76,0.498,0,1
61,0.7,94,0.636,1,1
61,0.8,76,0.439,1,1
61,0.9,70,0.388,1,1
61,1,62,0.355,1,1
62,0.1,2,0.0109999,0,1
62,0.2,5,0.027,0,1
62,0.3,6,0.0339999,0,1
62,0.4,5,0.0270002,0,1
62,0.5,32,0.184,0,1
62,0.6,103,0.579,0,1
62,0.7,89,0.525,1,1
62,0.8,80,0.479,1,1
62,0.9,71,0.429,1,1
62,1,63,0.369,1,1
63,0.1,2,0.0119998,0,1
63,0.2,5,0.0300002,0,1
63,0.3,6,0.033,0,1
63,0.4,11,0.0639999,0,1
63,0.5,16,0.092,0,1
63,0.6,32,0.186,0,1
63,0.7,92,0.537,1,1
63,0.8,80,0.47,1,1
63,0.9,72,0.401,1,1
63,1,65,0.359,1,1
64,0.1,2,0.0120001,0,1
64,0.2,2,0.0119998,0,1
64,0.3,13,0.0710001,0,1
64,0.4,13,0.072,0,1
64,0.5,38,0.215,0,1
64,0.6,125,0.69,1,1
64,0.7,91,0.505,1,1
64,0.8,79,0.445,1,1
64,0.9,72,0.409,1,1
64,1,65,0.371,1,1
65,0.1,2,0.0119998,0,1
65,0.2,3,0.0170002,0,1
65,0.3,8,0.046,0,1
65,0.4,7,0.043,0,1
65,0.5,21,0.134,0,1
65,0.6,140,0.864,1,1
65,0.7,96,0.58,1,1
65,0.8,81,0.48,1,1
65,0.9,73,0.404,1,1
65,1,67,0.367,1,1
66,0.1,2,0.00999999,0,1
66,0.2,2,0.0109999,0,1
66,0.3,5,0.027,0,1
66,0.4,11,0.0610001,0,1
66,0.5,53,0.292,0,1
